Question,Category,Difficulty Fariha,Difficulty Arean,A,B,C,D,Answer
সিরাজউদ্দৌলাকে কে হত্যা করে?,History,1,1,মীরন,মীর জাফর,মোহাম্মদী বেগ,লর্ড ক্লাইভ,C
বাবর উপমহাদেশে মুঘল সাম্রাজ্যের প্রতিষ্ঠা করেন -,History,1,1,১৫১৬ সালে,১৫২২ সালে,১৫২৬ সালে,১৫২৮ সালে,C
ফরাসিরা চন্দননগর নামক স্থানটি কিনে নেয় কেন?,History,1,1,স্থানটি সুন্দর বলে,সাম্রাজ্য বিস্তারের জন্য,বাণিজ্যিক কার্যক্রম সম্প্রসারিত করাতে,ধর্মীয় কারণে উদ্বুদ্ধ হয়ে,C
কোন পর্তুগিজ নাবিক প্রথম সমুদ্রপথে ভারতীয় উপমহাদেশে আসেন?,History,1,1,ভাস্কো-ডা-গামা,ক্যাপ্টেন হকিন্স,স্যার টমাস রো,জব চার্নক,A
স্বাধীনতা যুদ্ধে অবদানের জন্য 'বীরপ্রতীক' উপাধি লাভ করে কতজন?,History,1,1,৭ জন,৬৮ জন,১৭৫ জন,৪২৬ জন,D
'ছয়-দফা' দফা কোন তারিখে আনুষ্ঠুপক্াবে খোষণা করা হয়েছিল?,History,1,1,২১ ফেব্রুয়ারি ১৯৫৪,২২ মার্চ ১৯৫৮,২০ এপ্রিল ১৯৬২,২৩ মার্চ ১৯৬৬,B
মুজিবনগর সরকারের প্রধানমন্ত্রীর নাম কী?,History,1,1,এ. কে খোন্দকার,সৈয়দ নজরুল ইসলাম,তাজউদ্দিন আহমদ,মনসুর আলী,C
‘ইতিহাস’ শব্দটির সন্ধি বিচ্ছেদ কোনটি?,History,1,1,ইতি + হাস,ইতিহ + আস,ইতিহ + হাস,ইতি + আস,B
ঢাকার কোন স্থানের জনসভায় শেখ মুজিবুর রহমানকে ‘বঙ্গবন্ধু’ উপাধিতে ভূষিত করা হয়?,History,1,1,রেসকোর্স ময়দানে,ঢাকা বিশ্ববিদ্যালয়ে,ভিক্টোরিয়া পার্কে,লালবাগ কেল্লায়,A
"১৯৫২ সালের ২১ ফেব্রুয়ারি তারিখে বুকের রক্ত দিয়ে মাতৃভাষার মান রক্ষা করেন শহীদ জব্বার, রফিক, বরকত, সালাম; ঐ দিনটি ছিল ফাল্গুন মাসের?",History,1,1,৬ তারিখ,৮ তারিখ,১০ তারিখ,১২ তারিখ,B
কোন সালে পাকিস্তানে প্রথম সামরিক শাসন জারি হয়?,History,1,1,১৯৫৪,১৯৫৬,১৯৫৮,১৯৬২,C
বঙ্গবন্ধু লন্ডন থেকে কোথায় আসেন?,History,1,1,দিল্লি,ঢাকা,কলকাতা,করাচি,A
বাংলাদেশ ১৯৭১ সালের কত তারিখে স্বাধীনতা অর্জন করে?,History,1,1,২১ ফেব্রুয়ারি,১৫ ডিসেম্বর,১৬ ডিসেম্বর,২৬ মার্চ,D
আওয়ামী মুসলিম লীগের জন্ম হয় কখন?,History,1,1,১৯৪৮ সালের ৪ জানুয়ারি,১৯৪৯ সালের ২৩ জুন,১৯৫২ সালের ২৬ ফেব্রুয়ারি,১৯৫২ সালের ২৮ ফেব্রুয়ারি,B
দ্বিতীয় বিশ্বযুদ্ধের সূত্রপাত কে ঘটিয়েছিল?,History,1,1,জার্মানি,ফ্রান্স,রাশিয়া,ব্রিটেন,A
স্বদেশী আন্দোলন পরিচালিত হয়েছিল কাদের বিরুদ্ধে?,History,1,1,মুসলিম লীগের বিরুদ্ধে,কংগ্রেসের বিরুদ্ধে,ব্রিটিশ সরকারের বিরুদ্ধে,মুসলিম লীগ ও ব্রিটিশের বিরুদ্ধে,C
বাংলাদেশের ইতিহাসে যে ঘটনাটি আগে ঘটেছিল -,History,1,1,যুক্তফ্রন্ট গঠন,ভাষা আন্দোলন,আগরতলা ষড়যন্ত্র মামলা,আওয়ামী মুসলিম লীগের প্রতিষ্ঠা,D
স্বৈরাচারী শাসনের পতন ঘটে কত সালে?,History,1,1,১৯৭৫ সালে,১৯৭৯ সালে,১৯৮২ সালে,১৯৯০ সালে,D
ইংরেজদের ঘোষিত 'বঙ্গভঙ্গ একটি প্রতিষ্ঠিত ঘটনা'-এর ভঙ্গ হয় কার মাধ্যমে?,History,1,1,লর্ড কার্জন,ওয়ারেন হেস্টিংস,লর্ড হার্ডিঞ্জ,পঞ্চম জর্জ,D
ঢাকায় গণহত্যা শুরু হয় কী নামে?   ,History,1,1,অপারেশন সার্চলাইট,অপারেশন রেবল হান্ট,অপারেশন ক্লিনহার্ট,অপারেশন ডেজার্ট স্ট্রম,A
১৫ আগস্টের খুনিচক্র কার পরামর্শে ঢাকা ছাড়ে?,History,2,2,জিয়াউর রহমান,এইচ এম এরশাদ,জেনারেল ওসমানী,খোন্দকার মোশতাক,C
ইংরেজরা মীরজাফরকে ক্ষমতাচ্যুত করেন কেন?,History,2,2,মীরজাফরের অযোগ্যতার কারণে,মীরজাফরের সামরিক শক্তিতে ভীত হয়ে,ইংরেজদের বাণিজ্য বন্ধ করার কারণে,ইংরেজদের সাথে চুক্তি ভঙ্গ করার কারণে,A
কত খ্রিষ্টাব্দে হাজী শরীয়তউল্লাহ জন্মগ্রহণ করেন?,History,2,2,1780,1781,1782,1783,C
বীরশ্রেষ্ঠ ক্যাপ্টন মহিউদ্দিন জাহাঙ্গীর কোথায় জন্মগ্রহণ করেন ?,History,2,2,রাজশাহী,ফরিদপুর,বগুড়া,বরিশাল,D
স্বাধীন বাংলা ছাত্র সংগ্রাম পরিষদ গঠন হয় কত খ্রিষ্টাব্দে?,History,2,2,"১ মার্চ, ১৯৭০","২ মার্চ, ১৯৭০","৩ মার্চ, ১৯৭০","১ ফেব্রুয়ারি, ১৯৭১",A
শ্রী চৈতন্যের আবির্ভাব ঘটেছিল যে সুলতানের শাসনামলে -,History,2,2,আলাউদ্দিন হুসেন শাহ্‌,নাসিরউদ্দিন মাহমুদ শাহ্‌,গিয়াস উদ্দিন ইওজ খলজি,নুসরত শাহ্‌,A
প্রথমে পাঁচসালা বন্দোবস্ত চালু করেন কে?,History,2,2,লর্ড ক্লাইভ,লর্ড কর্নওয়ালিস,লর্ড কার্জন,ওয়ারেন হেস্টিংস,D
বাংলাদেশের প্রথম অস্থায়ী রাজধানীর নাম কি?,History,2,2,ঢাকা,মেহেরপুর,চট্টগ্রাম,মুজিবনগর,D
ইংরেজরা মীরকাশিমকে হাতের পুতুল বানাতে সক্ষম হয়নি কেন?,History,2,2,মীরকাশিমের গোপন সেনাবাহিনী ছিল,ইংরেজদের বিরুদ্ধে লড়ার শক্তি ছিল,তিনি স্বাধীনচেতা ছিলেন,তিনি প্রতিশোধপরায়ণ ছিলেন,C
কোন ইংরেজ শাসক দুই মেয়াদে বাংলার গভর্নর হয়েছিল?;,History,2,2,হেনরি ভেনসিটার্ট,রজার ড্রেক,জন কার্ডিয়ার,রবার্ট ক্লাইভ,D
কার সময় বাংলার রাজধানী ঢাকায় স্থাপন করা হয় ?,History,2,2,বখতিয়ার খিলজিক,মুর্শিদকুলী খাঁ,সম্রাট জাহাঙ্গীর,শেরশাহ,C
‘পূর্ব বাংলা ভাষা কমিটি’ কত খ্রিষ্টাব্দে গঠিত হয়?,History,2,2,1944,1948,1949,1950,C
ফরায়েজী আন্দলনের প্রধান কেন্দ্র ছিল কোন জেলা?,History,2,2,ফরিদপুর,শরিয়তপুর,খুলনা,যশোর,A
মোশতাকের সময়ে সেনাবাহিনীর প্রধান কে ছিলেন?,History,2,2,মনসুর আলী,কে এম শফিউল্লাহ,জিয়াউর রহমান,তাজউদ্দিন আহমদ,B
৬ দফা দাবী পেশ করা হয়ঃ,History,2,2,১৯৭০ সালে,১৯৬৬ সালে,১৯৬৫ সালে,১৯৬৯ সালে,B
কোন জাতির আক্রমণে গুপ্ত সাম্রাজ্য ভেঙে পড়ে?,History,2,2,আর্য জাতি,আরাকান জাতি,মঙ্গোলীয় জাতি,হুন জাতি,D
দ্বৈতশাসনের ফলে বাংলায় কী প্রভাব পড়ে?,History,2,2,সমাজব্যবস্থা ধ্বংস হয়ে যায়,খাদ্যশস্য উৎপাদন বেড়ে যায়,ভয়াবহ দুর্ভিক্ষ সৃষ্টি হয়,প্রশাসন ব্যবস্থা ধ্বংস হয়ে যায়,C
কত তারিখে দ্বিতীয় বারের মতো রাষ্ট্রভাষা সংগ্রাম পরিষদ গঠিত হয়?,History,2,2,২ মার্চ,৩ মার্চ,৪ মার্চ,৫ মার্চ,A
পর্তুগিজরা বাংলাদেশে কী নামে পরিচিত?,History,2,2,হার্মাদ,বর্গী,ফিরিঙ্গি,জলদস্যু,D
'মাৎস্যন্যায়' বাংলার কোন সময়কাল নির্দেশ করে?,History,2,2,৫ম-৬ষ্ঠ শতক,৬ষ্ঠ -৭ম শতক,৭ম-৮ম শতক,৮ম-৯ম শতক,C
কাশিমবাজার বালাসোরে কুঠি স্থাপন করে কারা?,History,3,3,ফরাসিরা,ডাচরা,ইংরেজরা,দিনেমাররা,A
মুজিবনগর সরকারের অর্থমন্ত্রী ছিলেন -,History,3,3,অধ্যাপক ইউসুফ আলী,কামরুজ্জামান,তাজউদ্দিন আহমেদ,ক্যাপ্টেন মনসুর আলী,D
ভারতের কোন যুদ্ধে প্রথম কামানের ব্যবহার হয় ?,History,3,3,পলাশীর যুদ্ধে,চৌসারের যুদ্ধে,পানিপথের প্রথম যুদ্ধে,পানিপথের দ্বিতীয় যুদ্ধে,C
কাগমারী সম্মেলন অনুষ্ঠিত হয় ?,History,3,3,রোজ গার্ডেনে,সিরাজগঞ্জে,সন্তোষে,সুনামগঞ্জে,C
নওয়াব আব্দুল লতিফ সরকারি চাকরি থেকে অবসর গ্রহণ করেন কত খ্রিষ্টাব্দে?;,History,3,3,1880,;১৮৮২,1883,1884,D
ব্রিটিশ সরকার কত খ্রিষ্টাব্দে ইন্ডিগো কমিশন গঠন করেন?,History,3,3,1859,1860,1861,1862,C
কার শাসনামলে বারাণসীতে বৌদ্ধমন্দির নির্মাণ করা হয়?,History,3,3,দেবপাল,রামপাল,মহীপাল,দ্বিতীয় বিগ্রহপাল,C
রবার্ট ক্লাইভ অযোধ্যার পরাজিত নবাবের কাছ থেকে কত টাকা ক্ষতিপূরণ আদায় করেন?,History,3,3,৪০ লাখ,৫০ লাখ,৬০ লাখ,৭০ লাখ,B
পর্তুগিজ → ওলন্দাজ → দিনেমার → ইংরেজ → (?)। (?) চিহ্নিত স্থানে কোনটি বসবে?;,History,3,3,ফরাসি,আরবির,চীনা,জাপানি,A
নিখিল ভারত মুসলিম লীগ প্রতিষ্ঠিত হয় কোন শহরে -,History,3,3,ফরিদপুর,ঢাকায়,করাচিতে,কোলকাতায়,B
পাকিস্তান সেনাবাহিনী ও তাদের এদেশীয় দোসররা কত লক্ষ বসতবাড়ি জ্বালিয়ে দেয়?,History,3,3,প্রায় ৪৩,প্রায় ৪৪,প্রায় ৪৫,প্রায় ৪৬,A
"কাকে ""প্রাচীন ভারতের নেপোলিয়ন' বলা হয়?",History,3,3,সম্রাট আকবর,দ্বিতীয় চন্দ্রগুপ্ত,সমুদ্রগুপ্ত,চন্দ্রগুপ্ড,C
হুন জাতি কোন শতকে গুপ্ত সাম্রাজ্য আক্রমণ করে?,History,3,3,দ্বিতীয়,তৃতীয়,চতুর্থ,পঞ্চম,D
মাষ্টারদা সূর্যসেনের ফাঁসি কার্যকর হয়েছিল কোথায়?,History,3,3,মেদিনীপুরে,ব্যারাকপুরে,চট্টগ্রামে,আন্দামানে,C
প্রাচীন সভ্যতায় মিশরীয়দের অবদান-  i. ধর্মীয় চিন্তায় ii. শিল্পে iii. লিখন পদ্ধতিতে নিচের কোনটি সঠিক?,History,3,3,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
দিনেমাররা কোন দেশের অধিবাসী?,History,3,3,নরওয়ের,ডেনমার্কের,আফ্রিকার,মিশরের,B
ব্রিটিশ পার্লামেন্টে 'ভারত শাসন আইন' পাস হয় -,History,3,3,১৭৮৪,১৭৮৬,১৭৭৩,১৭৯০,A
পাকিস্তানকে গোলাবারুদ সরবরাহ না করতে বিভিন্ন সরকারের কাছে আবেদন করেছে কারা?,History,3,3,জনসাধারণ,গণমাধ্যম,প্রবাসী বাঙালি,পেশাজীবী,C
কত সালে জিন্নাহর চৌদ্দ দফা দাবি পেশ করা হয়?,History,3,3,১৯২৭ সালে,১৯২৮ সালে,১৯২৯ সালে,১৯৩০ সালে,C
হরিকেল জনপদটির বৈশিষ্ট্য হিসেবে কোনটি প্রযোজ্য?,History,3,3,মুসলিম অধ্যুষিত,খণ্ড রাজ্য,স্বতন্ত্র রাজ্য,অনুর্বর রাজ্য,C
ইতিহাসের পরিসর বিশ্লেষণ করলে পাওয়া যায়- i. বৈজ্ঞানিক পদ্ধতি ii. গবেষণার বিষয়বস্তু iii. নতুন নতুন বিষয় অন্তর্ভুক্তি নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
দীর্ঘ এক শতাব্দী পরেও রাহাতের ইতিহাস শিক্ষক মনে করেন বঙ্গভঙ্গ এ অঞ্চলের জন্যে সুখকর ছিল। তার বিবেচিত বিষয় হলো - i. হিন্দু-মুসলিম সাম্প্রদায়িক ভিন্নতা ii. বঙ্গভঙ্গের সাত বছরে এ অঞ্চলের উন্নয়ন ii. চাকরিতে এ অঞ্চলের মানুষের সফলতা নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
১৯৭১ সালের মার্চের প্রথম থেকেই দেশের প্রতিটি অঞ্চলে যে সংগ্রাম পরিষদ গঠিত হয় তাতে ঢাকা বিশ্ববিদ্যালয়ের শিক্ষার্থী সালমা ও রত্নার মত অনেকেই পুরুষদের পাশাপাশি সামান্য প্রশিক্ষণ গ্রহণ করে মুক্তিযুদ্ধে অংশ নেন। সালমা ও রত্নাদের মুক্তিযুদ্ধে অংশগ্রহণ ছিল i. সরাসরি ii. পরোক্ষভাবে  iii. স্বতঃস্ফূর্ত,History,4,4,"i,ii","i,iii","ii,iii","i,ii,iii",D
‘পূর্ব পাকিস্তান আওয়ামী মুসলিম লীগ’ দলটি- i. ১৯৪৯ সালে প্রতিষ্ঠিত ii. প্রথম সাধারণ সম্পাদক শামসুল হক iii. প্রথম সভাপতি শেখ মুজিবুর রহমান নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
কৃষকদের স্বার্থ রক্ষায় এ. কে. ফজলুল হক- i. বগীয় আইন পাস করেন ii. প্রজাসত্ব আইন সংশোধন করেন iii. মহাজ্ঞানী আইন পাস করেন নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
বাংলায় মুসলমান শাসন প্রতিষ্ঠার প্রথম পর্যায়-; i. ১২০৪ খ্রিষ্টাব্দে সূচনা হয় ii. ১৩৩৮ খ্রিষ্টাব্দে সমাপ্ত হয় iii. স্বাধীন শাসকদের যুগ নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
যুক্তফ্রন্টের ঘোষিত বিষয়- i. পূর্ববাংলার স্বায়ত্তশাসন ii. ২১শে ফেব্রুয়ারি সরকারি ছুটি iii. বাংলাকে অন্যতম রাষ্ট্রভাষা হিসেবে গ্রহণ নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
জনাব হাসিন সদ্য স্বাধীন ক দেশের প্রেসিডেন্ট নির্বাচিত হন। তিনি সঠিকভাবে দেশ পুনর্গঠনের জন্য অনেকগুলো পদক্ষেপ গ্রহণ করেন। কিন্তু একটি স্বার্থান্বেষী মহল তাকে গ্রহণ করতে না পেরে হত্যা করে। এরপরে এই মহলটি জনাব গ কে প্রেসিডেন্ট নির্বাচিত করে। তোমার পাঠ্য বইয়ের কোন ব্যক্তির সাথে জনাব গয়ের মিল আছে,History,4,4,জিয়াউর রহমান,আহসানউদ্দিন,খন্দকার মোস্তাক,এ এস এম সায়েম,C
মুসলমানদের বিজয়ে বঙ্গে পরিবর্তন আসে-; i. রাজনৈতিক ক্ষেত্রে ii. ধর্মের ক্ষেত্রে iii. অর্থনীতিতে নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
ঐতিহাসিক হেরোডোটাস কর্তৃক গ্রিস ও পারস্যের মধ্যে যুদ্ধের বিষয় লিপিবদ্ধের কারণ-  i. যাতে পরবর্তী প্রজন্ম এ ঘটনা ভুলে না যায় ii. এ বিবরণ তাদের উৎসাহিত করে iii. তারা দেশপ্রেমে উদ্বুদ্ধ হয় নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
প্রাচীন বাংলায় বেশি প্রচলন ছিল-; i. গান ii. নাচ iii. অভিনয় নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
৬ দফা দাবির মাধ্যমে পূর্ব পাকিস্তানের জনগণের যে বিষয়টি ফুটে উঠেছে- i. স্বায়ত্তশাসনের দাবি ii. সর্বজনীন ভোটাধিকারের দাবি iii. আধাসামরিক বাহিনীর প্রয়োজনীয়তা নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
জব চার্নক যেসব গ্রামে জমিদারি স্বত্ব লাভ করেন-; i. কলকাতা ii. সুতানটি iii. গোবিন্দপুর নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
খিলাফত আন্দোলনের নেতৃত্ব দেন-     i. মাওলানা মোহাম্মদ আলী ii. মাওলানা শওকত আলী iii. মাওলানা আবুল কালাম আজাদ নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
 ইতিহাস পাঠ অত্যন্ত প্রয়োজনীয় কারণ ইতিহাস- i. জ্ঞানের বিস্তৃতি ঘটায় ii. সচেতনতা বৃদ্ধিতে সহায়তা করে iii. উদাহরণ হিসেবে উপস্থিত থাকে নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
ইস্কান্দার মির্জা দেশে সামরিক শাসন জারি করে-  i. মন্ত্রিসভা বরখাস্ত করেন ii. সংবিধান বাতিল করেন iii. কেন্দ্রীয় ও প্রাদেশিক পরিষদ ভেঙে দেন নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
ডিরোজিও যেসব পত্রিকার সম্পাদনা করেন- i. হিসপাবাস ii. ইস্ট ইন্ডিয়া iii. সম্বাদ কৌমুদী নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
পলাশী যুদ্ধের সময় নবাবের পক্ষে দেশপ্রেমিক ছিলেন- i. মীরমদন ii. মোহনলাল iii. মীরজাফর নিচের কোনটি সঠিক?,History,4,4,;i ও ii,;i ও iii,;ii ও iii,";i, ii ও iii",A
১৯৭৪ সালে বাংলাদেশ ও ভারতের মধ্যে যে সীমান্ত নিয়ে চুক্তি সম্পাদিত হয়-; i. হিলি-বেরুবাড়ী ii. সিলেটসিলেট-ত্রিপুরা iii. ফেনী নদী সীমান্ত,History,4,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",D
বঙ্গকে প্রাচীন পুঁথিতে প্রতিবেশী বলা হয়েছে- i. মগধের ii. রাঢ়ের iii. কলিঙ্গের নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",B
"নলীন বাবুর 'ক' ও 'খ' নামে দু'টি পোশাক কারখানা ছিল। 'ক' কারখানার শ্রমিকশেণি অবহেলিত ছিল। 'ক' কারখানার শ্রমিক নেতা সালাম সাহেব শ্রমিক সমাবেশ ডেকে শ্রমিকদের বকেয়া পাওনা, বেতন বৃদ্ধি ও নিরাপত্তাসহ বেশ কিছু দাবি মালিকের নিকট পেশ করেন। মালিক দাবি না মেনে শ্রমিক নেতার বিরুদ্ধে বিদ্রোহের অভিযোগ আনেন। ইক্তিতকৃত দাবির ফলে, i.বাঙ্গালি জাতির মুক্তির আন্দোলন স্তিমিত হয়ে পড়ে
ii. বাঙালির মহান নেতা পাকিস্তানের প্রধান শত্রুতে পরিণত হয়
iii. বাঙালি জাতি অন্যের শাসন থেকে মুস্ত হবার জন্য অনুপ্রাণিত হয়",History,5,5,"i,ii","i,iii","ii,iii","i,ii,iii",C
আইয়ুব খান মৌলিক গণতন্ত্রের ফলে-  i. সংবিধান প্রণয়নের ক্ষমতা লাভ করেন ii. ১৯৬০ খ্রিষ্টাব্দে প্রেসিডেন্ট নির্বাচিত হন iii. সেনা শাসনের প্রধান নির্বাচিত হন নিচের কোনটি সঠিক?,History,5,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
জনাব হাসিন সদ্য স্বাধীন ক দেশের প্রেসিডেন্ট নির্বাচিত হন। তিনি সঠিকভাবে দেশ পুনর্গঠনের জন্য অনেকগুলো পদক্ষেপ গ্রহণ করেন। কিন্তু একটি স্বার্থান্বেষী মহল তাকে গ্রহণ করতে না পেরে হত্যা করে। এরপরে এই মহলটি জনাব গ কে প্রেসিডেন্ট নির্বাচিত করে। জনাব হাসান এর পদক্ষেপ গুলি গুরুত্বপূর্ণ ছিল i.উন্নত অর্থনীতির জন্য ii.দেশের নিরাপত্তার জন্য iii.আইনের শাসন প্রতিষ্ঠার জন্য,History,5,5,"i,ii","i,iii","ii,iii","i,ii,iii",D
"১৪৪ ধারা ভঙ্গ করে মিছিল ঢাকা মেডিকেল কলেজের দিকে এগিয়ে যায়।এক পর্যায়ে পুলিশ মেশিনের উপর গুলি চালায়। এতে ঘটনাস্থলে বরকত, জব্বার, রফিক, সালামসহ আরো অনেকে মারা যান। উক্ত ঘটনার পরিপ্রেক্ষিতে I. একটি শহীদ মিনার তৈরি হয় Ii. ১৯৫৬ সালে বাংলাকে পাকিস্তানের সংবিধানে অন্তর্ভুক্ত করা হয় Iii. স্মৃতি মিনার কবিতা, আরেক ফাল্গুন উপন্যাস ও কবর নাটক রচিত হয়",History,5,5,"i,ii","ii,iii","i,iii","i,ii,iii",D
মানব সভ্যতার ইতিহাসে দ্বিতীয় বিশ্বযুদ্ধ ছিল সবচেয়ে-; i. আনন্দময় অধ্যায় ii. কলঙ্কিত অধ্যায় iii. বিভীষিকাময় অধ্যায় নিচের কোনটি সঠিক?,History,5,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
সমুদ্রগুপ্তের রাজত্বকালে বাংলা সম্পর্কিত তথ্য হলো— i. সমতট বাংলার করদরাজ্য ছিল  ii. রাজধানী ছিল মহাস্থানগড়ের পুণ্ড্রনগর  iii. উত্তরবঙ্গ একটি প্রদেশ বা ভুক্তি ছিল নিচের কোনটি সঠিক?,History,5,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
