Question,Category,Difficulty Fariha,Difficulty Arean,A,B,C,D,Answer
"হুমায়ুন আহমেদ আমাদের সবার নিকট একজন সুপরিচিত সাহিত্যিক। তার বিভিন্ন নাটক, উপন্যাসে বাঙালির অতীত, বর্তমান প্রথা-পদ্ধতি, আচার-আচরণ প্রতিফলিত হয়েছে। যুগ যুগ ধরে এগুলো আমাদের ঐতিহ্যের ধারক ও বাহক। উক্ত বিষয়টি প্রভাব বিস্তার করে- i. সংগীত শেখার ক্ষেত্রে ii. অবস্থগত সংস্কৃতির ক্ষেত্রে iii. সামাজিক রীতিনীতির ক্ষেত্রে নিচের কোনটি সঠিক?",MISC,3,3,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
কৃষির ইংরেজি প্রতিশব্দ কী?,MISC,1,2,Agriculture,Cultivation,Farm,Culture,A
পানি দূষণের ফলাফল কোনটি?,MISC,2,2,জলজ প্রাণির আবাসস্থল নষ্ট হচ্ছে,নদী প্রবাহের বাঁধা সৃষ্টি হচ্ছে না,পানির উৎস কমে যাচ্ছে,যোগাযোগের মাধ্যম নষ্ট হচ্ছে,A
কোনটি Endemic জীব?,MISC,2,1,ময়না,বাঘ,কালো বানর,কুমির,C
উত্তপ্ত ও বৈচিত্র্যময় আবহাওয়ার কারণে গ্রিসের ভৌগোলিক পরিবেশ ছিল ভিন্ন। এর পরিপ্রেক্ষিতে কোনটি বলা যায়?,MISC,3,3,গ্রিস সমরতন্ত্র দ্বারা প্রভাবিত ছিল,এটি রাষ্ট্রকে বিভক্ত করেছে,এর সভ্যতার ধরনও ছিল ভিন্ন,ভূমিদাস প্রথা বিদ্যমান ছিল,C
জনসংখ্যার ঘনত্ব নির্ণয়ের সূত্র কোনটি?,MISC,2,1,মোট জনসংখ্যা/ আয়তন,আয়তন/ মোট জনসংখ্যা,মোট জীবিত জনসংখ্যা/ মোট জনসংখ্যা,মোট জনসংখ্যা/ মোট জীবিত জনসংখ্যা,A
নীভবন অর্থ কী?,MISC,1,1,উন্মুক্ত করা,বন্ধ করা,ক্ষয়সাধন,প্রসারণ,A
তাপস রায় আফ্রিকার একটি অঞ্চল থেকে তার স্ত্রীকে জানান সেখানে যুদ্ধরত দল গুলোর মধ্যে যুদ্ধবিরতি ঘটাতে তাদের উদ্দেশ্য সফল হয়েছে এবং তারা সকল শ্রেণীর আস্থা অর্জনে সক্ষম হয়েছেন। উক্ত কার্যক্রমে বহির্বিশ্বে বাংলাদেশের কি অর্জন হয়েছে,MISC,4,4,বিশ্ব শান্তি,সুশৃংখল বাহিনী গঠন,বহির্বিশ্বে প্রভাব বিস্তার,শক্তি বৃদ্ধিতে উন্নত কৌশল,C
বর্তমানে যতটুকু অগ্রগতি হয়েছে তা সুষম ও সুসংহত এবং গতিশীল করতে যেসব পদক্ষেপ নেওয়া প্রয়োজন- i. মানব সম্পদের উন্নয়ন ii. দুর্নীতি দমন iii. রাষ্ট্রব্যবস্থায় স্বচ্ছতা ও জবাবদিহিতা নিশ্চিতকরণ নিচের কোনটি সঠিক?,MISC,4,3,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
প্রস্বেদন প্রক্রিয়ার শতকরা কত ভাগ দিবাভাগে সংঘটিত হয়?  ,MISC,2,2, ৯০ ভাগ, ৮৫ ভাগ, ৯৫ ভাগ, ৮০ ভাগ,C
‘পার্থেনন’ কী?,MISC,3,5,ইংরেজি সাপ্তাহিক পত্রিকা,ম্যাগাজিন,দৈনিক পত্রিকা,ষান্মাসিক পত্রিকা,A
পৃথিবীর সমস্ত তাপ ও শক্তির মূল উৎস কী?,MISC,1,3,মৌসুমি বায়ু,সূর্যের আলো,বৃষ্টিপাত,বায়ুমণ্ডল,B
বাংলাদেশের দ্বিতীয় সর্বোচ্চ শৃঙ্গের নাম কী?,Geography,1,1,তাজিওডং,কিওক্রাডং,পিরামিড,মোদকমুয়াল,B
বেইলী রোড এর নতুন নাম কি ?,Geography,1,1,থিয়েটার এভিনিউ,নাট্য সদন,নাটক সরণী,ব্রডওয়ে,C
সমুদ্রপৃষ্ঠের উচ্চতা বৃদ্ধির দিক থেকে ঝুঁকিপূর্ণ দেশ কোনটি?,Geography,1,1,মিশর,মালাউয়ি,কানাডা,নাইজার,A
বাংলাদেশের কোন অঞ্চলে বদ্বীপ অবস্থিত?,Geography,1,1,উত্তর-পূর্ব,দক্ষিণ-পূর্ব,উত্তর-পশ্চিম,দক্ষিণ-পশ্চিম,D
কোন জেলা ভারতের সীমান্তের সাথে নয়?,Geography,1,1,ঠাকুরগাঁও,রংপুর,নওয়াবগঞ্জ,বাগেরহাট,B
নদীভাঙনের কারণ কোনটি?,Geography,1,1,রাসায়নিক সার ব্যবহার,বৃক্ষ নিধন,স্টিমার চলাচল,কীটনাশক ব্যবহার,B
পৃথিবীর অন্যতম বৃহৎ বদ্বীপ কোনটি?,Geography,1,1,নেপাল,ভারত,মায়ানমার,বাংলাদেশ,D
পদ্মার উপনদী কোনটি?,Geography,1,1,ভৈরব,কুমার,মহানন্দা,মধুমতী,C
'হিমছড়ি' কোন শহরের নিকট অবস্থিত?,Geography,1,1,কক্সবাজার,খাগড়াছড়ি,রাঙ্গামাটি,কাপ্তাই,A
পৃথিবীর সবচেয়ে গভীরতম খাত কোনটি?,Geography,1,1,পোতা,ম্যারিয়ানা,পোর্টেরিকো,শুণ্ডা,B
 উপসাগরীয় স্রোতের উদ্ভব কোনটি থেকে?,Geography,1,1,পশ্চিম গ্রীনল্যান্ড স্নোত থেকে,ক্যানারি স্রোত থেকে,সুমেরু স্রোত থেকে,দক্ষিণ নিরক্ষীয় স্রোত থেকে,D
ময়নামতি কোথায় অবস্থিত?,Geography,1,1,রাজশাহী,কুমিল্লা,নটোর,বগুড়া,B
ভূত্বক ও গুরুমন্ডলের মাঝে একটি পাতলা স্তর রয়েছে তাকে কি বলে?,Geography,1,1,আন্ত:বিচ্ছেদ,মোহোবিচ্ছেদ,গুটেনবার্গ,বাহি:বিচ্ছেদ,B
১৮০º পূর্ব ও পশ্চিম দ্রাঘিমারেখাটি কী নামে পরিচিত?,Geography,1,1,মূল মধ্যরেখা,অক্ষরেখা,প্রতিপাদ স্থান,আন্তর্জাতিক তারিখ রেখা,D
বাংলাদেশের বৃহত্তম হাওড়-,Geography,1,1,পাথরচাওলি,হাইল,চলন বিল,হাকালুকি,D
বাংলাদেশের কোন জেলাটির সাথে ভারত ও মিয়ানমারের সীমানা রয়েছে?,Geography,1,1,চট্টগ্রাম,কক্সবাজার,রাঙ্গামাটি,পটুয়াখালী,C
বাংলাদেশের বৃহত্তম বা দীর্ঘতম নদী -,Geography,1,1,যমুনা,ব্রহ্মপুত্র,পদ্মা,মেঘনা,D
স্ট্রাটোমণ্ডলের বিস্তৃতি কত কিলোমিটার?,Geography,1,1,৮কিলোমিটার,৫০কিলোমিটার,১৯কিলোমিটার,১৬কিলোমিটার,B
বাংলাদেশের স্রোতজ বনভূমির বৃক্ষ কোনটি?,Geography,1,1,হিজল,কড়ই,গরান,বহেরা,C
চট্টগ্রাম ও রাঙামাটির প্রধান নদী কোনটা?,Geography,1,1,কর্ণফুলী,ভৈরব,বরাক,মেঘনা,A
বাংলাদেশে মেঘনা বিধৌত অঞ্চল কত বর্গকিলোমিটার?,Geography,2,2,29000,30000,29785,30775,C
ভারতীয় কোন রাজ্যের সাথে বাংলাদেশের কোনো সীমান্ত নাই ?,Geography,2,2,আসাম,মিজোরাম,ত্রিপুরা,নাগাল্যান্ড,D
(---) is known as the city of mosques.,Geography,2,2,Islamabad,2. Istambul,Dhaka,Jakarta,C
বাংলাদেশের উষ্ণ জলবায়ু ছেলেমেয়েদের ওপর কী প্রভাব ফেলেছে?,Geography,2,2,ইতিবাচক প্রভাব ফেলে,স্মৃতিশক্তি লোপ পায়,স্বাস্থ্যহীনতা বৃদ্ধি পায়,অপেক্ষাকৃত কম বয়সে সাবালক হয়,D
পদ্মার প্রধান উপনদী--,Geography,2,2,কুমার,মহানন্দা,গড়াই,আড়িয়াল খাঁ,B
অমাবস্যা তিথিতে চন্দ্র ও সূর্য পৃথিবীর সাথে কীভাবে অবস্থান করে?,Geography,2,2,সমকোণে,একই পার্শ্বে,সমসূত্রে,দুই পার্শ্বে,B
কোন স্থানে ব্রহ্মপুত্র নদ যমুনা ও পুরাতন ব্রহ্মপুত্র নদে বিভক্ত হয়েছে?,Geography,2,2,জামালপুর,কুড়িগ্রাম,দেওয়ানগঞ্জ,সিরাজগঞ্জ,C
অক্ষ অক্ষাংশের নামে পরিচিত হচ্ছে-,Geography,2,2,নিরক্ষীয় নিম্নচাপ বলয়,মেরুবৃত্তীয় নিম্নচাপ বলয়,উত্তর আটলান্টিকের শান্তবলয়,দক্ষিণ আটলান্টিকের শান্তবলয়,C
জাফলং ভূতাত্ত্বিক এঁতিহ্য-এর আয়তন কত?,Geography,2,2,২২.১০ একর,WED একর,২৩.২৫ একর,২৩.১০ একর,B
স্বণ্ণদ্বীপের পূর্ব নাম কি?,Geography,2,2,দুবলার চর,ময়নামতির চর,জাহাইজ্জার চর,চর জব্বার,C
"বায়ুমণ্ডদের কোন স্তরে মেঘ, কড়, বিদ্যুৎ ইত্যাদি দেখা যায় না?",Geography,2,2,মেসোপজ,ট্রপোপজ,মেসোস্ফিয়ার,ওজোনোস্ফিয়ার,B
বাংলাদেশের কুমার ও গড়াই কোন নদীর শাখানদী?,Geography,2,2,পদ্মা,যমুনা,ব্রহ্মপুত্র,মেঘনা,A
 নিচের কোনটি উষ্ণ উপসাগরীয় স্রোতের শাখা?,Geography,2,2,ক্যানারি স্রোত,সুমেরু স্রোত,ল্যাব্রাডর স্রোত,গিনি স্রোত,A
বাংলাদেশের ভূমিকম্পনীয় অঞ্চল কয়টি?,Geography,2,2,4,5,3,6,C
খামসীন বায়ু কখন প্রবাহিত হয়?,Geography,2,2,জানুয়ারি হতে মার্চ,অক্টোবর হতে ডিসেম্বর,জুলাই হতে সেপ্টেম্বর,এপ্রিল হতে জুন,D
জ্বলন্ত আগ্নেয়গিরি থেকে নির্গত ভস্ম ও লাভার সমন্বয়ে স্তরসমূহ দ্বারা কোন ধরনের আগ্নেয়গিরি গঠিত হয়?,Geography,2,2,সুপ্ত আগ্নেয়গিরি,মৃত আগ্নেয়গিরি,স্ট্র‍্যাটো আগ্নেয়গিরি,শিল্ড আগ্নেয়গিরি,C
রিখটার স্কেলের মাধ্যমে কী পরিমাপ করা হয়?,Geography,2,2,বারিপাত,ভূমিকম্পের তীব্রতা,বায়ুপ্রবাহের গতি,স্রোতের তীব্রতা,B
বায়ুমণ্ডলে সূর্যতাপের তারতম্য ঘটে কী কারণে?,Geography,2,2,সূর্যের অবস্থান ও অক্ষাংশভেদে,বার্ষিক গতি,আহ্নিক গতি,কর্কটক্রান্তি ও মকরক্রান্তি,A
বাংলাদেশের জলবায়ুকে কয়টি ঋতুতে ভাগ করা হয়েছে?,Geography,2,2,3,4,2,1,A
কোন পাহাড়টি স্থানীয় ভাবে টিলা নামে পরিচিত?,Geography,2,2,মোদকমুয়াল,চিকনাগুল,ক্রিওক্রাডং,তাজিংডং,B
প্রতিটি জোয়ারভাটার স্থিতিকাল হলো-,Geography,3,3,৮ ঘন্টা,৫ ঘন্টা,৬ ঘন্টা,৪ ঘন্টা,C
পৃথিবীর আকস্মিক পরিবর্তনের জন্য কয়টি ভূমিরূপের সৃষ্টি হয়?,Geography,3,3,নয়,তিন,দুই,চার,B
পিটার্সবার্গ নগরটি কোন দেশে অবস্থিত?,Geography,3,3,যুক্তরাজ্য,ফ্রান্স,সুইডেন,রাশিয়া,D
মাহির দেশের একটি বৃহৎ নদীর উপর নির্মিত বঙ্গবন্ধু সেতু দেখতে পায়। ১৭৮৭ সালে সংঘটিত ভূমিকম্পের ফলে সৃষ্ট নতুন স্রোতধারা নদীটিকে নতুন নামে পরিচিত করে। উদ্দীপকে কোন নদীটিকে ইঙ্গিত করা হয়েছে,Geography,3,3,পদ্মা,মেঘনা,যমুনা,কর্ণফুলী,C
দক্ষিণ আটলান্টিক মহাসাগরীয় স্রোত কোনটি?,Geography,3,3,উপসাগরীয় স্রোত,কুমেরু স্রোত,ল্যাব্রাডর স্রোত,ক্যানারি স্রোত,B
রাফিন ঢাকা থেকে একটি পার্বত্য এলাকায় বেড়াতে যায়। সেখানে সে লক্ষ্য করে লোক বসতি কম এবং বাড়িঘর গুলো দূরে দূরে অবস্থিত। অন্যদিকে ঢাকায় লোক বসতি খুবই বেশি এবং বাড়িঘর গুলো খুবই কাছাকাছি। রাস্তাঘাটে হাঁটার চলা কষ্টকর। রাফিনের বেড়াতে যাওয়ার স্থানটিতে লোক বসতি কম হওয়ার কারণ i. জীবিকার সংস্থান কষ্টসাধ্য ii. অনুন্নত জাতের ব্যবস্থা iii. অসমতল ভূমিরূপ,Geography,3,3,"i,ii","i,iii","ii,iii","i,ii,iii",D
চলন বিল কোথায় অবস্থিত?,Geography,3,3,নাটোর,নাটোর ও বগুড়া,পাবনা ও নাটোর,সিরাজগঞ্জ ও নাটোর,C
কাঁচ তৈরিতে কাঁচামাল রূপে ব্যবহৃত হয়- i. প্রাকৃতিক গ্যাস ii. নদীর স্রোত iii. সিলিকা বালু নিচের কোনটি সঠিক?,Geography,3,3,i,ii, iii,"i, ii ও iii",C
পুরাতন ব্রহ্মপুত্র নদটি কোন জেলার উপর দিয়ে প্রবাহিত ?,Geography,3,3,জামালপুর,সিরাজগঞ্জ,মানিকগঞ্জ,ময়মনসিংহ,D
'দুবলার চর' কোথায় অবস্থিত ?,Geography,3,3,সেন্টমাটিনে,সুন্দরবনের দক্ষিন উপকূলে,ভোলা জেলায়,মাধবকুণ্ডের পাশে,B
Which is the largest riverine delta in the world ?,Geography,3,3,Bangladesh,Vietnam,Egypt,Laos,A
বাংলাদেশে কত জাতের উভচর আছে?,Geography,3,3,124,24,19,119,C
আমাদের দেশে আমরা যে মৌজা মানচিত্র দেখতে পাই তা কোন ধরনের মানচিত্রের অন্তর্ভুক্ত?,Geography,3,3,ক্যাডাস্ট্রাল,এটলাস,ভূসংস্থানিক,দেওয়াল,A
নিচের কোন কাজের ক্ষেত্রে 'জিআইএস' প্রযোজ্য?,Geography,3,3,আঞ্চলিক গবেষণায়,জাতীয় আয় বৃদ্ধিতে,জনসংখ্যা গণনায়,তথ্য ব্যবস্থাপনায়,A
দিনের ও রাতের আলোর বিশেষ তারতম্য থাকে না কোন গ্রহের?,Geography,3,3,মঙ্গল,শুক্র,শনি,বুধ,B
পুকুরে নতুন কীটপতঙ্গ জন্মালে কী হয়?,Geography,3,3,পানি দুর্গন্ধ হবে,মাছের খাদ্য কমবে,পানিতে অক্সিজেন হ্রাস পাবে,পানি দূষণ হবে,C
উপকূলীয় অঞ্চলে নিমায় বসাক মাছ ধরে জীবিকা নির্বাহ করত। কিন্তু ঘূর্ণিঝড়ের প্রকোপে সবকিছু হারিয়ে বর্তমানে সে ঢাকা শহরে রিকশা চালাচ্ছে। উক্ত কারণের ফলে I. সর্বত্র তাপমাত্রা বৃদ্ধি পাচ্ছে Ii. সময় মত ঋতু পরিবর্তন হচ্ছে না iii.বিলুপ্ত হচ্ছে জীববৈচিত্র,Geography,3,3,"i,ii","i,iii","ii,iii","i,ii,iii",D
ভূমিকম্পের বিপজ্জনক বলয়ে অবস্থিত কোন জেলা?,Geography,3,3,ঢাকা,খুলনা,চট্রগ্রাম,বরিশাল,A
পূর্বাশা দ্বীপের অপর নাম-,Geography,3,3,নিবুম দ্বীপ,সেন্টমাটিন,দক্ষিণ OAS,কুতুবদিয়া,C
সমুদ্রের গভীরতা মাপা হয় কীসের সাহায্যে?,Geography,3,3,বেতার তরঙ্গ,ব্যারোমিটার,শব্দ তরঙ্গ,সেক্সট্যান্ট,C
বাংলাদেশের যেসব প্রাণীর অস্তিত্ব হুমকির তালিকায় রয়েছে- i. হাতি ও অজগর  ii. কুমির ও ঘড়িয়াল iii. রয়েল বেঙ্গল টাইগার ও চিতাবাঘ  নিচের কোনটি সঠিক?,Geography,4,4,i ও iii,i ও ii,ii ও iii,"i, ii ও iii",D
নিম্নগতিতে নদীর- i. স্রোতের গতি বেড়ে যায়  ii. গভীরতা কমে যায়  iii. পার্শ্বক্ষয় হ্রাস পায় নিচের কোনটি সঠিক?,Geography,4,4,i ও iii,"i, ii ও iii",i ও ii,ii ও iii,D
"তুলা, চা, ডাল, মরিচের উৎপাদন বেশ ভালো হয় - i. ভারতে ii. বাংলাদেশে iii. মিয়ানমারে নিচের কোনটি সঠিক?",Geography,4,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",C
খুলনার দুবলার দ্বীপের বাসিন্দা আবদার তাদের গ্রামে পিক দিয়ে বয়ে গেছে একটি নদী। এই নদী পথে সে খুলনা বরিশাল রুটে বরিশাল আসে যেহেতু সে তার বাবার চাকরির কারণে বরিশালে পড়াশোনা করে। উক্ত নদীর তীরে অবস্থিত বন্দরের নাম কি,Geography,4,4,চট্টগ্রাম,মংলা,নোয়াপাড়া,আশুগঞ্জ,B
ভূপৃষ্ঠের ধীর পরিবর্তন সংগঠনে ভূমিকা রাখে- i. আগ্নেয়গিরি ii. হিমবাহ iii. বৃষ্টিপাত নিচের কোনটি সঠিক?,Geography,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
সমুদ্রের গভীরতার সঙ্গে সম্পর্কিত হলো- i. তাপমাত্রা  ii. সমুদ্রস্রোত iii. লবণাক্ততা নিচের কোনটি সঠিক?,Geography,4,4,"i, ii ও iii",i ও iii,i ও ii,ii ও iii,A
মানচিত্রের ভাষা হচ্ছে- i. রঙ ii. রেখা iii. সংকেত নিচের কোনটি সঠিক?,Geography,4,4,"i, ii ও iii",i ও ii,ii ও iii,i ও iii,A
টারশিয়ারি যুগে- i. মহাসাগরগুলো সৃষ্টি হয় ii. দেশের দক্ষণি-পূর্বাঞ্চলের পাহাড়সমূহ সৃষ্টি হয় iii. হিমালয় পর্বত উত্থিত হয় নিচের কোনটি সঠিক?,Geography,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
ক নদীটি দেশের পশ্চিম সীমানা দিয়ে এবং খ নদী টি দেশের উত্তর সীমানা দিয়ে বাংলাদেশের প্রবেশ করেছে। খ একটি উপনদী হলেও সেচ ব্যবস্থার জন্য গুরুত্বপূর্ণ। উভয় নদীতে ভারত একাধিক স্থানে বাঁধ নির্মাণ করেছে এবং অতিরিক্ত পানি প্রত্যাহার করে নিচ্ছে। উদ্দীপকের খ নদীটি কোন নদীর উপনদী,Geography,4,4,ব্রহ্মপুত্র,পদ্মা,মেঘনা,কর্ণফুলী,C
পানির বিভিন্ন রূপ হলো- i. তরল ii. কঠিন iii. বর্ণহীন  নিচের কোনটি সঠিক?,Geography,4,4,i ও ii,i ও iii,"i, ii ও iii",ii ও iii,C
"রাজধানী ঢাকাতে ভূমিকম্পজনিত ঝুঁকি বাড়ছে, কারণ- i. অপরিকল্পিত নগরায়ণ ii. খোলা জায়গার অভাব iii. সরু গলিপথ নিচের কোনটি সঠিক?",Geography,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
কেন্দ্রমণ্ডলের উপাদান হচ্ছে- i. লোহা ও নিকেল ii. অক্সিজেন ও অ্যালুমিনিয়াম  iii. পারদ ও সিসা নিচের কোনটি সঠিক?,Geography,4,4,i ও iii,i ও ii,ii ও iii,"i, ii ও iii",A
"বাংলাদেশে যখন চরম গরম অনুভব হয়, তখন দক্ষিণ গোলার্ধে- i. দিন ছোট হয় ii. শীতকাল বিরাজ করে  iii. সূর্য লম্বভাবে কিরণ দেয়  নিচের কোনটি সঠিক?",Geography,4,4,i ও iii,ii ও iii,"i, ii ও iii",i ও ii,D
বায়ুর আর্দ্রতা প্রকাশ করা যায়- i. পরম আর্দ্রতায় ii. নিরপেক্ষ আর্দ্রতায় iii. আপেক্ষিক আর্দ্রতায় নিচের কোনটি সঠিক?,Geography,4,4,i ও iii,ii,i,i ও ii,A
বাংলাদেশের গ্রীষ্মকালের বৈশিষ্ট্য হলো- i. কালবৈশাখী ঝড় সংঘটিত হয় ii. সূর্য কর্কটক্রান্তির উপর লম্বভাবে কিরণ দেয় iii. তাপমাত্রা সহনশীল থাকে নিচের কোনটি সঠিক?,Geography,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
প্লেটের গতির কারণ- i. পরিচলন স্রোত ii. ধাক্কা পদ্ধতি iii. আকর্ষণ পদ্ধতি নিচের কোনটি সঠিক?,Geography,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
বাংলাদেশে ভূমিকম্পের সম্ভাবনা বাড়ছে- i. ভূস্থিতির ফলে ii. পাহাড় কাটার ফলে iii. মানুষ বাড়ার কারণে নিচের কোনটি সঠিক?,Geography,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
শীতকালে x মামার চাকরির স্থল থেকে চট্টগ্রাম বেড়াতে এসে মামার সাথে একটি নদীতে নৌকা ভ্রমনে যায়। মামা তাকে বলে নদীটির অর্থনৈতিক গুরুত্ব অনেক। X নদীর দু'পাশে সবুজ বনভূমি দেখে মুগ্ধ হয়। X এর ভ্রমণকৃত নদীটির নাম কি,Geography,4,4,কর্ণফুলী,নাফ,মাতামোহরি,সাঙ্গু,C
সমুদ্র সমতল থেকে যত উপরে যাওয়া যায় বায়ুর- i. ঘনত্ব বৃদ্ধি পায় ii. তাপমাত্রা হ্রাস পায় iii. ঘনত্ব কমে যায় নিচের কোনটি সঠিক?,Geography,4,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",B
ফুয়াদ ‘ক’ নদীর তীরে বসবাস করে যা দীর্ঘ পথ অতিক্রম করে বাংলাদেশে প্রবেশ করেছে। একটি প্রাকৃতিক দুর্যোগ নদীটির একটি নতুন ধারার জন্ম দেয়। ফুয়াদের এলাকায় একটি জঙ্গল আছে যা বিভিন্ন গাছে পূর্ণ। সে এই জঙ্গলের একটি বিশেষ বৈশিষ্ট্য লক্ষ্য করে যা এটিকে অন্যান্য জঙ্গল থেকে আলাদা করেছে। ’ক’ নদীটির নাম কি,Geography,4,4,যমুনা,ব্রহ্মপুত্র,পদ্মা,মেঘনা,B
মাহির দেশের একটি বৃহৎ নদীর উপর নির্মিত বঙ্গবন্ধু সেতু দেখতে পায়। ১৭৮৭ সালে সংঘটিত ভূমিকম্পের ফলে সৃষ্ট নতুন স্রোতধারা নদীটিকে নতুন নামে পরিচিত করে। উক্ত নদী বৈশিষ্ট্য হল i. এর উৎপত্তি তিব্বতের মানস সরবরে ii. এর উপনদী হলো করতোয়া ও আত্রাই iii. এটি সীমান্ত নদী হিসেবে পরিচিত,Geography,5,5,"i,ii","i,iii","ii,iii","i,ii,iii",A
তার বাবার সাথে বাংলাদেশের দক্ষিণ পূর্বাঞ্চলে বেড়াতে যায় সে লক্ষ্য করে একটি নদীর পানি ব্যবহার করে বিদ্যুৎ উৎপাদন করা হচ্ছে এবং বিভিন্ন স্থানে সরবরাহ করা হচ্ছে। সোহেলের দেখা নদীর গুরুত্ব বেশি কারণ i.পানি বিদ্যুৎ কেন্দ্রের জন্য ii.চট্টগ্রাম বন্দরের জন্য iii.বাংলাদেশে অর্থনীতিতে ভূমিকা রাখার জন্য,Geography,5,5,"i,ii","ii,iii","i,iii","i,ii,iii",D
মিনা ও মানিক দুই ভাইবোন।তারা শীতের ছুটিতে বেড়াতে যায়। মানিক তার মার সাথে দেশের উত্তর পূর্বাঞ্চলে পাহাড় দেখতে যায়। আর মিনা বাবার সাথে যায় বরেন্দ্রভূমি দেখতে। মিনার বেড়ানো যায়গাটির মূল বৈশিষ্ট্য হল I. লালচে মাটি ii . নুড়ি ও বালি মিশ্রিত মাটি Iii. সবুজ প্রকৃতি,Geography,5,5,"i,ii","i,iii","ii,iii","i,ii,iii",A
